,Country,Year,New Age-Standardized Death Rate
45,United Arab Emirates,2019,90.04630149
60,United Arab Emirates,2018,91.20587057
104,Argentina,2019,763.11485867
281,Argentina,2018,759.27472575
317,Argentina,2017,777.67465065
349,Argentina,2016,804.71016441
378,Argentina,2015,767.46327882
506,Armenia,2018,867.3287749
547,Armenia,2019,883.88722699
619,Armenia,2017,931.19586834
739,Antigua and Barbuda,2019,636.33929859
747,Armenia,2016,943.26759712
899,Antigua and Barbuda,2016,573.38115036
959,Antigua and Barbuda,2017,589.98595771
983,Antigua and Barbuda,2015,564.30754761
1124,Australia,2015,667.83688861
1147,Austria,2019,939.28147772
1163,Australia,2016,655.22140199
1215,Austria,2018,950.18990786
1328,Austria,2017,946.78008926
1436,Austria,2015,962.66083892
1507,Belgium,2018,968.69118132
1533,Belgium,2015,981.20565242
1564,Belgium,2016,952.20695722
1639,Armenia,2015,927.84767828
1672,Bulgaria,2019,1549.4081255
1780,Bulgaria,2017,1551.6085691
1846,Bulgaria,2016,1509.2969493
2033,Bosnia and Herzegovina,2017,1133.1856394
2069,Bosnia and Herzegovina,2016,1041.5017264
2130,Belarus,2018,1265.9146165
2157,Antigua and Barbuda,2018,587.83208358
2184,Belize,2015,490.94984388
2368,Brazil,2017,631.59305884
2482,Brazil,2016,635.30976135
2520,Brazil,2015,618.26383475
2619,Brunei Darussalam,2019,405.50676806
2644,Brunei Darussalam,2017,394.87776484
2709,Brunei Darussalam,2016,386.10952072
2791,Canada,2017,753.26223566
2863,Canada,2016,734.44578866
2969,Switzerland,2019,790.41150843
3064,Switzerland,2017,792.38357655
3089,Switzerland,2016,775.84351665
3157,Switzerland,2015,816.26128281
3287,Australia,2017,654.96331208
3375,Chile,2017,575.99064105
3472,Chile,2016,571.28678964
3551,Chile,2015,575.01792079
3575,Colombia,2019,485.41458832
3669,Colombia,2018,477.09826824
3768,Colombia,2017,465.39511201
3931,Costa Rica,2019,480.26820236
3981,Costa Rica,2018,470.17256529
